 1;54,12;3;45000;861234578
 2;63,14;3;50000;861512345
 3;45,25;2;42500;864522332
 4;22,12;1;37125;867822312
 5;42,12;2;40500;861253324
 6;35,41;1;40512;861253324
 7;63,14;3;50000;861512345
 8;45,25;2;42500;864522332
 9;22,12;5;37125;867822312
10;42,12;2;41500;861452225
11;54,12;3;45000;861234578
12;63,14;3;50000;861512345
13;22,12;1;37125;867822312
14;41,12;2;40500;861452325
15;35,41;1;40512;861253324
16;63,14;3;50000;861512345
17;45,25;5;42500;864522332
18;22,12;5;37125;867822312
19;45,12;5;39500;861452245
20;54,12;5;45000;861234578
21;63,14;3;50000;861512345
22;45,25;2;42500;864522332
23;22,12;1;37125;867822312
24;42,12;5;40500;861452225
25;35,41;5;40512;861253324
26;22,12;5;37125;867822312
27;48,12;5;34500;861451225
28;54,12;3;45000;861234578
29;63,14;3;50000;861512345
30;45,25;2;42500;864522332
31;22,12;1;37125;867822312
32;42,12;2;40500;861253324
33;35,41;1;40512;861253324
34;63,14;3;50000;861512345
35;45,25;2;42500;864522332
36;22,12;5;37125;867822312
37;42,12;2;41500;861452225
38;54,12;3;45000;861234578
39;63,14;3;50000;861512345
40;22,12;1;37125;867822312
41;41,12;2;40500;861452325
42;35,41;1;40512;861253324
43;63,14;3;50000;861512345
44;45,25;5;42500;864522332
45;22,12;1;37125;867822312
46;45,12;2;39500;861452245
47;54,12;3;45000;861234578
48;63,14;3;50000;861512345
49;45,25;2;42500;864522332
50;22,12;1;37125;867822312
51;42,12;2;40500;861452225
52;35,41;5;40512;861253324
53;22,12;5;37125;867822312
54;48,12;5;34500;861451225
55;54,12;5;45000;861234578
56;63,14;3;50000;861512345
57;45,25;2;42500;864522332
58;22,12;1;37125;867822312
59;42,12;2;40500;861253324
60;35,41;1;40512;861253324
61;63,14;3;50000;861512345
62;45,25;2;42500;864522332
63;22,12;5;37125;867822312
64;42,12;5;41500;861452225
65;54,12;3;45000;861234578
66;63,14;3;50000;861512345
67;22,12;1;37125;867822312
68;41,12;2;40500;861452325
69;35,41;1;40512;861253324
70;63,14;3;50000;861512345
71;45,25;2;42500;864522332
72;22,12;5;37125;867822312
73;45,12;5;39500;861452245
74;54,12;3;45000;861234578
75;63,14;3;50000;861512345
76;45,25;2;42500;864522332
77;22,12;1;37125;867822312
78;42,12;2;40500;861452225
79;35,41;1;40512;861253324
80;22,12;5;37125;867822312
81;48,12;5;34500;861451225
